," ""Frames""","""Bytes""","""AVG""","""Frames_src""","""Bytes_src""","""AVG_src""","""Frames_dst""","""Bytes_dst""","""AVG_dst"""
1706,276,45522,155,96,27253,155,180,18269,155
1707,290,55883,154,107,37343,154,183,18540,154
1708,292,54994,156,99,33965,156,193,21029,156
1709,279,39618,156,90,21212,156,189,18406,156
1710,291,52412,164,96,32844,164,195,19568,164
1711,254,45355,159,88,28434,159,166,16921,159
1712,281,50470,156,109,31695,156,172,18775,156
1713,281,50356,154,109,31661,154,172,18695,154
1714,277,50777,155,106,31784,155,171,18993,155
1715,269,49417,152,102,31282,152,167,18135,152
1716,281,50386,155,109,31597,155,172,18789,155
1717,273,50049,154,105,31496,154,168,18553,154
1718,274,50207,153,103,31436,153,171,18771,153
1719,285,50733,153,111,31826,153,174,18907,153
1720,276,50701,155,107,31826,155,169,18875,155
1721,282,50859,159,108,31904,159,174,18955,159
1722,278,50293,164,107,31536,164,171,18757,164
1723,280,50388,155,107,31509,155,173,18879,155
1724,279,50441,152,106,31586,152,173,18855,152
1725,281,50416,156,107,31519,156,174,18897,156
1726,973,66927,154,442,31562,154,531,35365,154
1727,938,65704,163,423,30877,163,515,34827,163
1728,946,66921,153,432,31882,153,514,35039,153
1729,960,66536,155,433,30918,155,527,35618,155
1730,946,73323,154,422,35990,154,524,37333,154
1731,954,72360,156,434,35738,156,520,36622,156
1732,929,65659,156,417,30543,156,512,35116,156
1733,919,65430,164,415,30638,164,504,34792,164
1734,901,64570,159,407,30305,159,494,34265,159
1735,930,66367,156,418,31044,156,512,35323,156
1736,902,65206,154,407,30685,154,495,34521,154
1737,944,66526,155,418,30294,155,526,36232,155
1738,950,67605,152,414,30417,152,536,37188,152
1739,945,68309,155,412,30872,155,533,37437,155
1740,996,70258,154,436,31770,154,560,38488,154
1741,981,69855,153,426,31270,153,555,38585,153
1742,1167,104625,153,518,54969,153,649,49656,153
1743,892,62416,155,415,30353,155,477,32063,155
1744,958,78128,159,443,40996,159,515,37132,159
1745,886,62369,164,411,30235,164,475,32134,164
1746,891,63437,155,414,30806,155,477,32631,155
1747,907,63410,152,423,30874,152,484,32536,152
1748,936,65538,156,434,31700,156,502,33838,156
1749,584,97932,154,329,47301,154,255,50631,154
1750,644,106804,163,355,50989,163,289,55815,163
1751,535,85299,153,278,39965,153,257,45334,153
1752,572,94980,155,306,44918,155,266,50062,155
1753,426,68448,154,219,31931,154,207,36517,154
1754,541,88378,156,291,41655,156,250,46723,156
1755,556,88898,156,294,41597,156,262,47301,156
1756,570,93514,164,309,44471,164,261,49043,164
1757,675,112090,159,374,53871,159,301,58219,159
1758,514,81810,156,265,37975,156,249,43835,156
1759,571,93301,154,311,44285,154,260,49016,154
1760,483,77710,155,256,36531,155,227,41179,155
1761,497,77811,152,257,36123,152,240,41688,152
1762,578,97261,155,321,46389,155,257,50872,155
1763,615,102153,154,329,48331,154,286,53822,154
1764,563,90032,153,302,42263,153,261,47769,153
1765,377,56611,153,179,25477,153,198,31134,153
